dataset,case_id,n_tokens,n_sentences,n_violations,n_judge_confirmed,n_generated,n_rerouted,n_despecified,trace_jsonl
ctrate,train_15641_c_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_15641_c_1/trace.jsonl
ctrate,train_15971_a_2,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_15971_a_2/trace.jsonl
ctrate,train_1974_a_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_1974_a_1/trace.jsonl
ctrate,train_15544_a_2,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_15544_a_2/trace.jsonl
ctrate,train_2039_c_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_2039_c_1/trace.jsonl
ctrate,train_10697_b_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_10697_b_1/trace.jsonl
ctrate,train_12824_a_2,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_12824_a_2/trace.jsonl
ctrate,train_17021_a_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_17021_a_1/trace.jsonl
ctrate,train_10682_a_2,128,8,2,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_10682_a_2/trace.jsonl
ctrate,train_3506_a_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_3506_a_1/trace.jsonl
ctrate,train_12250_a_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_12250_a_1/trace.jsonl
ctrate,train_1157_a_2,128,8,2,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_1157_a_2/trace.jsonl
ctrate,train_1038_a_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_1038_a_1/trace.jsonl
